INFO -Time:09:40:31 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:09:40:31 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:09:41:56 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:09:41:56 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:09:43:29 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:09:43:29 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:09:45:13 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:09:45:13 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:09:46:43 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:09:46:44 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:09:49:05 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:09:49:05 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:09:55:07 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:09:55:07 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:10:17:26 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:10:17:26 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:10:18:23 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:10:18:23 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:10:23:47 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:10:23:47 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:10:44:32 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:10:44:32 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:10:46:53 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:10:46:53 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:10:49:54 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:10:49:54 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:10:54:35 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:10:54:35 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:11:14:01 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:11:14:01 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:11:44:33 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:11:44:33 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:00:12 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:00:12 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:01:11 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:01:11 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:01:59 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:01:59 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:02:45 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:02:45 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:03:24 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:03:24 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:06:57 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:06:57 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:07:18 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:07:18 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:07:25 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:07:25 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:09:08 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:09:09 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:11:25 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:11:25 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:11:42 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:11:42 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:32:01 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:32:01 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:32:51 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:32:51 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:45:53 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:45:53 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:57:00 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:57:00 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:58:19 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:58:19 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:12:59:31 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:12:59:31 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:08:46 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:08:46 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:10:41 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:10:41 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:15:27 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:15:27 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:16:19 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:16:19 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:18:20 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:18:20 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:21:56 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:21:56 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:23:06 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:23:06 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:24:23 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:24:23 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:25:13 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:25:13 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:26:28 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:26:28 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:27:51 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:27:51 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:31:51 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:31:51 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:33:16 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:33:16 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:33:59 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:33:59 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:34:48 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:34:48 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:37:45 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:37:45 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:40:50 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:40:50 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:44:37 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:44:37 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:47:48 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:47:48 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:49:56 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:49:56 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:50:30 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:50:30 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:01:57:34 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:01:57:34 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:02:00:27 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - initialization checkout_form;
INFO -Time:02:00:27 - IP - 127.0.0.1;  FUNCTION - checkout_form; MESSAGE - End checkout_form;
INFO -Time:02:10:02 - IP - 127.0.0.1;  FUNCTION - callback; MESSAGE - PAYMENT_NOTIFICATION start;
INFO -Time:02:10:02 - IP - 127.0.0.1;  FUNCTION - notify; MESSAGE - start func;
INFO -Time:02:10:02 - IP - 127.0.0.1;  FUNCTION - notify; MESSAGE - received data from the server : Data - 3,3,174;
INFO -Time:02:10:02 - IP - 127.0.0.1;  FUNCTION - callbackRequest; MESSAGE - изменение статуса;
